Unicode,Glyph Name,Character
e1df,message-code,
e1e0,message-image,
e1e1,message-middle,
e1e2,message-middle-top,
e1e3,message-question,
e1e4,message-quote,
e1e5,message-sms,
e1e6,message-text,
e1e7,messages-question,
e1e8,meter,
e1e9,meter-bolt,
e1ea,meter-droplet,
e1eb,meter-fire,
e1ec,microchip-ai,
e1ed,mill-sign,
e1ee,mobile-notch,
e1ef,mobile-signal,
e1f0,mobile-signal-out,
e1f1,money-bill-simple,
e1f2,money-bill-simple-wave,
e1f3,money-bills,
e1f4,money-bills-simple,
e1f5,mug-tea-saucer,
e1f6,naira-sign,
e1f7,nfc,
e1f8,nfc-lock,
e1f9,nfc-magnifying-glass,
e1fa,nfc-pen,
e1fb,nfc-signal,
e1fc,nfc-slash,
e1fd,nfc-trash,
e1fe,notdef,
e1ff,note,
e200,note-medical,
e201,notebook,
e202,notes,
e203,octagon-divide,
e204,octagon-exclamation,
e205,oil-can-drip,
e206,paintbrush-pencil,
e207,pallet-boxes,
e208,pallet-box,
e209,panorama,
e20a,paper-plane-top,
e20b,peach,
e20c,pear,
e20d,pedestal,
e20e,pen-circle,
e20f,pen-clip-slash,
e210,pen-fancy-slash,
e211,pen-field,
e212,pen-line,
e213,pen-slash,
e214,pen-swirl,
e215,pencil-slash,
e216,people,
e217,people-dress,
e218,people-dress-simple,
e219,people-pants,
e21a,people-pants-simple,
e21b,people-simple,
e21c,person-dress-simple,
e21d,person-pinball,
e21e,person-seat,
e21f,person-seat-reclined,
e220,person-simple,
e221,peseta-sign,
e222,peso-sign,
e223,phone-arrow-down-left,
e224,phone-arrow-up-right,
e225,phone-hangup,
e226,phone-missed,
e227,phone-xmark,
e228,photo-film-music,
e229,pinball,
e22b,plane-prop,
e22c,plane-tail,
e22d,plane-up,
e22e,plane-up-slash,
e22f,play-pause,
e231,puzzle-piece-simple,
e234,quotes,
e235,rectangle-pro,
e236,rectangle-terminal,
e237,rectangle-vertical-history,
e238,reel,
e239,reply-clock,
e23a,restroom-simple,
e23b,rhombus,
e23c,rotate-exclamation,
e23d,rupiah-sign,
e23e,screencast,
e23f,scribble,
e240,sd-cards,
e241,seal,
e242,seal-exclamation,
e243,seal-question,
e244,seat-airline,
e246,shelves-empty,
e247,shield-exclamation,
e248,shield-keyhole,
e249,shield-minus,
e24a,shield-plus,
e24b,shield-slash,
e24c,shield-xmark,
e24d,shower-down,
e24e,sidebar,
e24f,sidebar-flip,
e250,signal-stream-slash,
e251,sim-cards,
e252,slider,
e253,sliders-simple,
e254,split,
e255,square-0,
e256,square-1,
e257,square-2,
e258,square-3,
e259,square-4,
e25a,square-5,
e25b,square-6,
e25c,square-7,
e25d,square-8,
e25e,square-9,
e25f,square-a,
e260,square-ampersand,
e261,square-arrow-down-left,
e262,square-arrow-down-right,
e263,square-arrow-up-left,
e264,square-b,
e265,square-bolt,
e266,square-c,
e267,square-code,
e268,square-d,
e269,square-dashed,
e26a,square-divide,
e26b,square-down-left,
e26c,square-down-right,
e26d,square-e,
e26e,square-ellipsis,
e26f,square-ellipsis-vertical,
e270,square-f,
e271,square-g,
e272,square-i,
e273,square-j,
e274,square-k,
e275,square-l,
e276,square-m,
e277,square-n,
e278,square-o,
e279,square-p,
e27a,square-phone-hangup,
e27b,square-q,
e27c,square-r,
e27d,square-s,
e27e,square-small,
e27f,square-star,
e280,square-t,
e281,square-u,
e282,square-up-left,
e283,square-user,
e284,square-v,
e285,square-w,
e286,square-x,
e287,square-y,
e288,square-z,
e289,stairs,
e28a,standard-definition,
e28b,star-sharp,
e28c,star-sharp-half,
e28d,star-sharp-half-stroke,
e28e,starfighter-twin-ion-engine-advanced,
e28f,sun-bright,
e290,table-layout,
e291,table-pivot,
e292,table-rows,
e293,table-tree,
e294,tally-1,
e295,tally-2,
e296,tally-3,
e297,tally-4,
e298,taxi-bus,
e299,temperature-list,
e29a,ticket-airline,
e29b,tickets-airline,
e29c,timeline,
e29d,timeline-arrow,
e29e,timer,
e29f,toilet-paper-blank-under,
e2a0,toilet-paper-under,
e2a1,toilet-paper-under-slash,
e2a2,tower-control,
e2a3,train-subway-tunnel,
e2a4,transformer-bolt,
e2a5,transporter-4,
e2a6,transporter-5,
e2a7,transporter-6,
e2a8,transporter-7,
e2a9,trash-can-check,
e2aa,trash-can-clock,
e2ab,trash-can-list,
e2ac,trash-can-plus,
e2ad,trash-can-slash,
e2ae,trash-can-xmark,
e2af,trash-check,
e2b0,trash-clock,
e2b1,trash-list,
e2b2,trash-plus,
e2b3,trash-slash,
e2b4,trash-xmark,
e2b5,truck-container-empty,
e2b6,truck-flatbed,
e2b7,truck-front,
e2b8,truck-tow,
e2b9,tty-answer,
e2ba,tugrik-sign,
e2bb,turkish-lira-sign,
e2bc,umbrella-simple,
e2bd,up-left,
e2be,up-right,
e2bf,user-bounty-hunter,
e2c0,user-pilot,
e2c1,user-pilot-tie,
e2c2,user-shakespeare,
e2c3,utility-pole,
e2c4,utility-pole-double,
e2c5,vault,
e2c6,vector-circle,
e2c7,vector-polygon,
e2c8,video-arrow-down-left,
e2c9,video-arrow-up-right,
e2ca,wand-magic-sparkles,
e2cb,watch-apple,
e2cc,watch-smart,
e2cd,wheat-awn,
e2ce,wheelchair-move,
e2cf,wifi-exclamation,
e2d1,wrench-simple,
e2d2,robot-astromech,
e2dc,360-degrees,
e2df,aperture,
e2e1,arrow-turn-down-left,
e2e3,balloon,
e2e4,balloons,
e2e5,banana,
e2e6,bangladeshi-taka-sign,
e2e7,bench-tree,
e2e8,blueberries,
e2e9,bowl-chopsticks,
e2ea,bowl-chopsticks-noodles,
e2eb,bowl-rice,
e2f2,briefcase-arrow-right,
e2f4,citrus,
e2f5,citrus-slice,
e2f6,coconut,
e2fa,display-slash,
e2fe,face-explode,
e2ff,face-viewfinder,
e300,family,
e301,family-dress,
e302,family-pants,
e303,fence,
e304,fish-bones,
e306,grapes,
e307,grid-horizontal,
e30c,kiwi-fruit,
e30f,mango,
e310,melon,
e311,melon-slice,
e312,money-from-bracket,
e313,money-simple-from-bracket,
e316,olive,
e317,olive-branch,
e318,option,
e31a,party-bell,
e31b,party-horn,
e31c,peapod,
e31e,person-pregnant,
e31f,pineapple,
e322,rectangle-code,
e323,rectangles-mixed,
e324,roller-coaster,
e329,square-quote,
e32a,square-terminal,
e32b,strawberry,
e32d,table-picnic,
e32e,thought-bubble,
e32f,tick,
e330,tomato,
